Palavra-chave da rede de pesquisa,Tipo de corresp.,Status do critério,Status da campanha,Status do grupo de anúncios,Custo,Cliques,CTR
mecânica diesel são paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 397,00",223,"3,82%"
mecânica diesel são paulo,Corresp. de frase,Ativado,Ativado,Ativado,"R$ 216,22",97,"6,74%"
bosch car service diesel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 164,91",90,"5,91%"
manutencao de veiculos,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 149,85",225,"1,42%"
manutenção de automoveis,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 135,10",216,"2,03%"
auto center ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 118,99",119,"3,03%"
conserto de veiculos,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 88,20",156,"0,96%"
oficina bosch diesel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 81,38",46,"7,43%"
mecânica bosch diesel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 80,28",44,"5,33%"
bosch ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 49,40",38,"11,28%"
manutenção de carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 39,43",110,"1,20%"
conserto de automóvel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 23,31",55,"0,68%"
oficina de revisão automotiva,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 20,29",33,"3,55%"
bosch car service são paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 18,54",12,"4,92%"
oficina no bairro ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 17,52",29,"6,30%"
mecânico perto de mim,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 15,62",11,"1,18%"
revisão no carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 12,31",13,"1,81%"
revisão hilux diesel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 11,64",13,"2,43%"
revisao em carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 11,52",32,"1,07%"
mecânico bom em SP,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 10,87",8,"2,91%"
mecânica autorizada Bosch,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 10,12",10,"3,28%"
oficina mecânica ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 9,76",11,"2,26%"
revisao auto,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 9,68",20,"1,55%"
oficina mecanica no ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 9,28",9,"8,04%"
manutenção preventiva de carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 8,93",9,"0,75%"
revisao geral carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 7,81",14,"1,78%"
revisão automóvel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 6,41",10,"5,56%"
revisão de um carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 6,19",12,"1,04%"
revisao de automovel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 5,59",10,"0,94%"
troca de óleo ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 5,58",5,"6,02%"
bosch amarok diesel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 3,85",2,"3,57%"
revisão ao carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 3,43",33,"1,40%"
revisão de carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 3,28",6,"1,10%"
bosch car service ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 3,20",2,"15,38%"
revisao de veiculos,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1,80",7,"0,96%"
mecânico no ipiranga,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1,57",2,"13,33%"
oficina caminhonete diesel são paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1,26",1,"2,04%"
revisão completa carro,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 1,07",2,"1,69%"
bosch car service mercedes,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,61",1,"5,88%"
carro de manutenção,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,22",2,"0,96%"
revisão bmw são paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
manutenção de viaturas,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
revisão mercedes são paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
bosch car service volvo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
bosch car service bmw,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
revisão volvo são paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
mecânico carros de luxo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
mecânica com bom preço,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
bosch ranger diesel,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
revisão carro diesel são paulo,Correspondência ampla,Ativado,Ativado,Ativado,"R$ 0,00",0,"0,00%"
